College Code,College Name,Branch Code,Branch Rank,Integrated Rank,Gender,Region,Caste,Seat Category
CVSR,"ANURAG UNIVERSITY (FORMERLY ANURAG GRP OF INSTNS- CVSR COLL OF ENGG), GHATKESAR",INF,13,65,M,OU,BC_A,BC_A_GEN_OU
VJEC,"V N R VIGNANA JYOTHI INSTITUTE OF ENGG AND TECH, BACHUPALLY",CSE,21,66,M,OU,BC_D,OC_GEN_OU
JNTH,"JNTUH UNIVERSITY COLLEGE OF ENGG SCI AND TECH HYDERABAD, HYDERABAD",CSE,22,67,F,OU,OC,OC_GEN_OU
CBIT,"CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY, GANDIPET",CIV,14,68,F,OU,ST,ST_GIRLS_UR
JNTH,"JNTUH UNIVERSITY COLLEGE OF ENGG SCI AND TECH HYDERABAD, HYDERABAD",CIV,15,69,F,OU,BC_B,BC_B_GIRLS_UR
JNTH,"JNTUH UNIVERSITY COLLEGE OF ENGG SCI AND TECH HYDERABAD, HYDERABAD",ECE,22,70,F,OU,BC_B,BC_B_GIRLS_OU
OUCE,"O U COLLEGE OF ENGG  HYDERABAD, HYDERABAD",CIV,16,71,M,OU,BC_A,BC_A_GEN_UR
CBIT,"CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY, GANDIPET",CIV,17,72,F,OU,BC_B,OC_GIRLS_OU
OUCE,"O U COLLEGE OF ENGG  HYDERABAD, HYDERABAD",ECE,23,73,M,OU,SC,SC_GEN_OU
CBIT,"CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY, GANDIPET",CSE,23,74,F,OU,BC_B,OC_GIRLS_OU
CBIT,"CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY, GANDIPET",CSE,24,75,F,OU,OC,OC_GEN_OU
CBIT,"CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY, GANDIPET",CSE,25,76,M,OU,BC_D,BC_D_GEN_UR
CBIT,"CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY, GANDIPET",CIV,18,77,M,OU,BC_E,BC_E_GEN_OU
CBIT,"CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY, GANDIPET",ECE,24,78,M,OU,BC_B,BC_B_GEN_UR
VJEC,"V N R VIGNANA JYOTHI INSTITUTE OF ENGG AND TECH, BACHUPALLY",CSE,26,79,F,OU,BC_A,OC_GIRLS_UR
JNTH,"JNTUH UNIVERSITY COLLEGE OF ENGG SCI AND TECH HYDERABAD, HYDERABAD",CSE,27,80,F,OU,BC_D,BC_D_GEN_OU
VJEC,"V N R VIGNANA JYOTHI INSTITUTE OF ENGG AND TECH, BACHUPALLY",CSE,28,81,M,OU,BC_B,OC_GEN_OU
CBIT,"CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY, GANDIPET",CIV,19,82,M,OU,BC_B,BC_B_GEN_OU
OUCE,"O U COLLEGE OF ENGG  HYDERABAD, HYDERABAD",MEC,9,83,M,OU,OC,EWS_GEN_UR
KITS,"KAKATIYA INSTITUTE OF TECHNOLOGY AND SCI, WARANGAL",INF,20,84,M,OU,BC_D,BC_C_GEN_OU
VJEC,"V N R VIGNANA JYOTHI INSTITUTE OF ENGG AND TECH, BACHUPALLY",ECE,25,85,F,OU,OC,OC_GIRLS_OU
CBIT,"CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY, GANDIPET",ECE,26,86,M,OU,OC,EWS_GEN_OU
JNTH,"JNTUH UNIVERSITY COLLEGE OF ENGG SCI AND TECH HYDERABAD, HYDERABAD",ECE,27,87,F,OU,BC_B,BC_B_GIRLS_OU
JNTH,"JNTUH UNIVERSITY COLLEGE OF ENGG SCI AND TECH HYDERABAD, HYDERABAD",ECE,28,88,M,OU,BC_B,BC_B_GEN_OU
OUCE,"O U COLLEGE OF ENGG  HYDERABAD, HYDERABAD",ECE,29,89,F,OU,BC_A,BC_A_GIRLS_OU
JNTH,"JNTUH UNIVERSITY COLLEGE OF ENGG SCI AND TECH HYDERABAD, HYDERABAD",CSM,29,90,F,OU,BC_B,OC_GIRLS_OU
GNTW,"G NARAYNAMMA INSTITUTE OF TECHNOLOGY AND SCI, SHAIKPET",CSE,30,91,F,OU,OC,OC_GIRLS_UR
GNTW,"G NARAYNAMMA INSTITUTE OF TECHNOLOGY AND SCI, SHAIKPET",CSE,31,92,F,OU,OC,OC_GIRLS_OU
VASV,"VASAVI COLLEGE OF ENGINEERING, HYDERABAD",CIV,21,93,F,OU,BC_B,OC_GIRLS_OU
JNTH,"JNTUH UNIVERSITY COLLEGE OF ENGG SCI AND TECH HYDERABAD, HYDERABAD",CSM,32,94,F,OU,OC,EWS_GIRLS_UR
OUCE,"O U COLLEGE OF ENGG  HYDERABAD, HYDERABAD",MEC,10,95,M,OU,BC_A,BC_A_GEN_UR
CBIT,"CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY, GANDIPET",CSE,33,97,F,OU,OC,EWS_GIRLS_OU
OUCE,"O U COLLEGE OF ENGG  HYDERABAD, HYDERABAD",CSE,34,98,M,OU,BC_D,OC_GEN_OU
OUCE,"O U COLLEGE OF ENGG  HYDERABAD, HYDERABAD",CSE,35,99,M,OU,SC,OC_GEN_OU
VJEC,"V N R VIGNANA JYOTHI INSTITUTE OF ENGG AND TECH, BACHUPALLY",CIV,22,100,M,OU,BC_D,BC_D_GEN_OU
JNTH,"JNTUH UNIVERSITY COLLEGE OF ENGG SCI AND TECH HYDERABAD, HYDERABAD",CSE,36,101,F,OU,BC_B,BC_B_GEN_OU
VJEC,"V N R VIGNANA JYOTHI INSTITUTE OF ENGG AND TECH, BACHUPALLY",CIV,23,102,M,OU,BC_B,BC_B_GEN_OU
VJEC,"V N R VIGNANA JYOTHI INSTITUTE OF ENGG AND TECH, BACHUPALLY",ECE,31,103,F,OU,BC_D,OC_GEN_OU
