Institute Code,Institute Name,Place,Dist. Name,Region,College,Minority,Co-,Affil.,Branch,fee,Convener Seats
SDGI,SREE DATTHA GRP OF INSTNS,IBRAHIMPATAN,RR,OU,PVT,NA,COED,JNTUH,MEC,80000,7
SDIP,SREE DATTHA INSTITUTE OF PHARMACY,IBRAHIMPATAN,RR,OU,PVT,NA,COED,JNTUH,PHM,82000,11
SFEC,CRIMSON INSTITUTE OF TECHNOLOGY,BANDLAGUDA,HYD,OU,PVT,MUS,COED,JNTUH,CSE,45000,6
SHIP,SAHASRA INST OF PHARM SCI,WARANGAL,WGL,OU,PVT,NA,COED,KU,PHM,45000,7
SIEI,SIDDHARTHA INSTT OF ENGG AND TECHNOLOGY (AUTONOMOUS),IBRAHIMPATAN,RR,OU,PVT,NA,COED,JNTUH,CIV,68000,6
SIEI,SIDDHARTHA INSTT OF ENGG AND TECHNOLOGY (AUTONOMOUS),IBRAHIMPATAN,RR,OU,PVT,NA,COED,JNTUH,CSD,68000,13
SIEI,SIDDHARTHA INSTT OF ENGG AND TECHNOLOGY (AUTONOMOUS),IBRAHIMPATAN,RR,OU,PVT,NA,COED,JNTUH,CSE,68000,20
SIEI,SIDDHARTHA INSTT OF ENGG AND TECHNOLOGY (AUTONOMOUS),IBRAHIMPATAN,RR,OU,PVT,NA,COED,JNTUH,CSM,68000,13
SIEI,SIDDHARTHA INSTT OF ENGG AND TECHNOLOGY (AUTONOMOUS),IBRAHIMPATAN,RR,OU,PVT,NA,COED,JNTUH,ECE,68000,14
SIEI,SIDDHARTHA INSTT OF ENGG AND TECHNOLOGY (AUTONOMOUS),IBRAHIMPATAN,RR,OU,PVT,NA,COED,JNTUH,EEE,68000,6
SIEI,SIDDHARTHA INSTT OF ENGG AND TECHNOLOGY (AUTONOMOUS),IBRAHIMPATAN,RR,OU,PVT,NA,COED,JNTUH,MEC,68000,7
SIPC,SIDDHARTHA INSTITUTE OF PHARMACY,GHATKESAR,MDL,OU,PVT,NA,COED,JNTUH,PHM,82000,11
SISG,SIDDHARTHA INSTT OF TECHNOLOGY AND SCIENCES (AUTONOMOUS),GHATKESAR,MDL,OU,PVT,NA,COED,JNTUH,CIV,80000,3
SISG,SIDDHARTHA INSTT OF TECHNOLOGY AND SCIENCES (AUTONOMOUS),GHATKESAR,MDL,OU,PVT,NA,COED,JNTUH,CSC,80000,3
SISG,SIDDHARTHA INSTT OF TECHNOLOGY AND SCIENCES (AUTONOMOUS),GHATKESAR,MDL,OU,PVT,NA,COED,JNTUH,CSD,80000,7
SISG,SIDDHARTHA INSTT OF TECHNOLOGY AND SCIENCES (AUTONOMOUS),GHATKESAR,MDL,OU,PVT,NA,COED,JNTUH,CSE,80000,13
SISG,SIDDHARTHA INSTT OF TECHNOLOGY AND SCIENCES (AUTONOMOUS),GHATKESAR,MDL,OU,PVT,NA,COED,JNTUH,CSM,80000,13
SISG,SIDDHARTHA INSTT OF TECHNOLOGY AND SCIENCES (AUTONOMOUS),GHATKESAR,MDL,OU,PVT,NA,COED,JNTUH,CSO,80000,7
SISG,SIDDHARTHA INSTT OF TECHNOLOGY AND SCIENCES (AUTONOMOUS),GHATKESAR,MDL,OU,PVT,NA,COED,JNTUH,CSW,80000,6
SISG,SIDDHARTHA INSTT OF TECHNOLOGY AND SCIENCES (AUTONOMOUS),GHATKESAR,MDL,OU,PVT,NA,COED,JNTUH,ECE,80000,7
SISG,SIDDHARTHA INSTT OF TECHNOLOGY AND SCIENCES (AUTONOMOUS),GHATKESAR,MDL,OU,PVT,NA,COED,JNTUH,EEE,80000,3
SISG,SIDDHARTHA INSTT OF TECHNOLOGY AND SCIENCES (AUTONOMOUS),GHATKESAR,MDL,OU,PVT,NA,COED,JNTUH,MEC,80000,4
SKIH,SRI KAKATIYA INST OF PHARM SCI,WARANGAL,HNK,OU,PVT,NA,COED,KU,PHM,60000,11
SMCD,ST MARYS ENGINEERING COLLEGE,DESHMUKHI,YBG,OU,PVT,CHR,COED,JNTUH,AID,50000,18
SMCD,ST MARYS ENGINEERING COLLEGE,DESHMUKHI,YBG,OU,PVT,CHR,COED,JNTUH,CSE,50000,24
SMCD,ST MARYS ENGINEERING COLLEGE,DESHMUKHI,YBG,OU,PVT,CHR,COED,JNTUH,CSM,50000,18
SMED,ST MARYS GROUP OF INSTITUTIONS,DESHMUKHI,YBG,OU,PVT,CHR,COED,JNTUH,AID,60000,18
SMED,ST MARYS GROUP OF INSTITUTIONS,DESHMUKHI,YBG,OU,PVT,CHR,COED,JNTUH,CSE,60000,24
SMED,ST MARYS GROUP OF INSTITUTIONS,DESHMUKHI,YBG,OU,PVT,CHR,COED,JNTUH,CSM,60000,30
SMED,ST MARYS GROUP OF INSTITUTIONS,DESHMUKHI,YBG,OU,PVT,CHR,COED,JNTUH,PHM,60000,10
SMIC,ST MARYS INTEGRATED CAMPUS,DESHMUKHI,YBG,OU,PVT,CHR,COED,JNTUH,CSE,45000,24
SMPS,STMARYS COLLEGE OF PHARMACY,SECUNDERABAD,HYD,OU,PVT,NA,COED,JNTUH,PHM,60000,11
SMSK,SAMSKRUTHI COLLEGE OF ENGG AND TECHNOLOGY (AUTONOMOUS),GHATKESAR,MDL,OU,PVT,NA,COED,JNTUH,CSD,72000,9
SMSK,SAMSKRUTHI COLLEGE OF ENGG AND TECHNOLOGY (AUTONOMOUS),GHATKESAR,MDL,OU,PVT,NA,COED,JNTUH,CSE,72000,14
SMSK,SAMSKRUTHI COLLEGE OF ENGG AND TECHNOLOGY (AUTONOMOUS),GHATKESAR,MDL,OU,PVT,NA,COED,JNTUH,CSM,72000,13
SMSK,SAMSKRUTHI COLLEGE OF ENGG AND TECHNOLOGY (AUTONOMOUS),GHATKESAR,MDL,OU,PVT,NA,COED,JNTUH,ECE,72000,6
SMSK,SAMSKRUTHI COLLEGE OF ENGG AND TECHNOLOGY (AUTONOMOUS),GHATKESAR,MDL,OU,PVT,NA,COED,JNTUH,EEE,72000,4
SNIS,SRINIDHI INSTITUTE OF SCI AND TECHNOLOGY,GHATKESAR,MDL,OU,PVT,NA,COED,JNTUH,CIV,130000,6
SNIS,SRINIDHI INSTITUTE OF SCI AND TECHNOLOGY,GHATKESAR,MDL,OU,PVT,NA,COED,JNTUH,CSC,130000,7
SNIS,SRINIDHI INSTITUTE OF SCI AND TECHNOLOGY,GHATKESAR,MDL,OU,PVT,NA,COED,JNTUH,CSD,130000,6
SNIS,SRINIDHI INSTITUTE OF SCI AND TECHNOLOGY,GHATKESAR,MDL,OU,PVT,NA,COED,JNTUH,CSE,130000,33
SNIS,SRINIDHI INSTITUTE OF SCI AND TECHNOLOGY,GHATKESAR,MDL,OU,PVT,NA,COED,JNTUH,CSM,130000,17
SNIS,SRINIDHI INSTITUTE OF SCI AND TECHNOLOGY,GHATKESAR,MDL,OU,PVT,NA,COED,JNTUH,CSO,130000,6
SNIS,SRINIDHI INSTITUTE OF SCI AND TECHNOLOGY,GHATKESAR,MDL,OU,PVT,NA,COED,JNTUH,ECE,130000,47
SNIS,SRINIDHI INSTITUTE OF SCI AND TECHNOLOGY,GHATKESAR,MDL,OU,PVT,NA,COED,JNTUH,ECM,130000,13
SNIS,SRINIDHI INSTITUTE OF SCI AND TECHNOLOGY,GHATKESAR,MDL,OU,PVT,NA,COED,JNTUH,EEE,130000,13
SNIS,SRINIDHI INSTITUTE OF SCI AND TECHNOLOGY,GHATKESAR,MDL,OU,PVT,NA,COED,JNTUH,INF,130000,26
SNIS,SRINIDHI INSTITUTE OF SCI AND TECHNOLOGY,GHATKESAR,MDL,OU,PVT,NA,COED,JNTUH,MEC,130000,11
SNTI,SCIENT INSTITUTE OF TECHNOLOGY,IBRAHIMPATAN,RR,OU,PVT,NA,COED,JNTUH,CSE,76000,13
SNTI,SCIENT INSTITUTE OF TECHNOLOGY,IBRAHIMPATAN,RR,OU,PVT,NA,COED,JNTUH,ECE,76000,6
SNTI,SCIENT INSTITUTE OF TECHNOLOGY,IBRAHIMPATAN,RR,OU,PVT,NA,COED,JNTUH,EEE,76000,7
SNVM,S N VANITHA PHARMACY MAHA VIDYALAYA,TARNAKA,HYD,OU,PVT,NA,GIRLS,OU,PHM,100000,11
SPEC,ST PETERS ENGINEERING COLLEGE (AUTONOMOUS),MEDCHAL,MDL,OU,PVT,NA,COED,JNTUH,AID,96000,13
