College Code,College Name,Place,District Name,Region,College Type,Minority,Co-Educational,Affiliated to,Branch,Fee Structure,Convener Seats
MINA,MINA INST OF ENGG AND TECHNOLOGY FOR WOMEN,MIRYALAGUDA,NALGONDA,OU,PVT,NA,GIRLS,SBTET,EC,15780,66
MINA,MINA INST OF ENGG AND TECHNOLOGY FOR WOMEN,MIRYALAGUDA,NALGONDA,OU,PVT,NA,GIRLS,SBTET,EE,15780,66
MNGR,GOVT MODEL RESIDENTIAL POLYTECHNIC,MANUGURU ASWAPURAM,Bhadradri Kothagudem,OU,GOV,NA,BOYS,SBTET,EE,5080,66
MNGR,GOVT MODEL RESIDENTIAL POLYTECHNIC,MANUGURU ASWAPURAM,Bhadradri Kothagudem,OU,GOV,NA,BOYS,SBTET,ME,5080,66
MNGR,GOVT MODEL RESIDENTIAL POLYTECHNIC,MANUGURU ASWAPURAM,Bhadradri Kothagudem,OU,GOV,NA,BOYS,SBTET,MN,5080,66
MOTK,MOTHER TERESA INSTITUTE OF SCI. AND TECHNOLOGY,SATHUPALLY,KHAMMAM,OU,PVT,NA,COED,SBTET,CCB,15780,66
MOTK,MOTHER TERESA INSTITUTE OF SCI. AND TECHNOLOGY,SATHUPALLY,KHAMMAM,OU,PVT,NA,COED,SBTET,CE,15780,66
MOTK,MOTHER TERESA INSTITUTE OF SCI. AND TECHNOLOGY,SATHUPALLY,KHAMMAM,OU,PVT,NA,COED,SBTET,CS,15780,132
MOTK,MOTHER TERESA INSTITUTE OF SCI. AND TECHNOLOGY,SATHUPALLY,KHAMMAM,OU,PVT,NA,COED,SBTET,EC,15780,66
MOTK,MOTHER TERESA INSTITUTE OF SCI. AND TECHNOLOGY,SATHUPALLY,KHAMMAM,OU,PVT,NA,COED,SBTET,EE,15780,66
MTEC,MOTHER THERESA COLLEGE OF ENGG. AND TECHNOLOGY,PEDDAPALLY,PEDDAPALLI,OU,PVT,NA,COED,SBTET,CS,15780,198
MTEC,MOTHER THERESA COLLEGE OF ENGG. AND TECHNOLOGY,PEDDAPALLY,PEDDAPALLI,OU,PVT,NA,COED,SBTET,EC,15780,66
MTEC,MOTHER THERESA COLLEGE OF ENGG. AND TECHNOLOGY,PEDDAPALLY,PEDDAPALLI,OU,PVT,NA,COED,SBTET,EE,15780,66
NALG,GOVT POLYTECHNIC,NALGONDA,NALGONDA,OU,GOV,NA,COED,SBTET,CE,5080,132
NALG,GOVT POLYTECHNIC,NALGONDA,NALGONDA,OU,GOV,NA,COED,SBTET,CS,5080,66
NALG,GOVT POLYTECHNIC,NALGONDA,NALGONDA,OU,GOV,NA,COED,SBTET,EE,5080,132
NALG,GOVT POLYTECHNIC,NALGONDA,NALGONDA,OU,GOV,NA,COED,SBTET,ME,5080,132
NAWB,NAWAB SHAH ALAM KHAN COLL OF ENGG AND TECH,NEW MALAKPET,HYDERABAD,OU,PVT,NA,COED,SBTET,CE,15780,30
NAWB,NAWAB SHAH ALAM KHAN COLL OF ENGG AND TECH,NEW MALAKPET,HYDERABAD,OU,PVT,NA,COED,SBTET,CS,15780,30
NAWB,NAWAB SHAH ALAM KHAN COLL OF ENGG AND TECH,NEW MALAKPET,HYDERABAD,OU,PVT,NA,COED,SBTET,EC,15780,15
NAWB,NAWAB SHAH ALAM KHAN COLL OF ENGG AND TECH,NEW MALAKPET,HYDERABAD,OU,PVT,NA,COED,SBTET,EE,15780,15
NAWB,NAWAB SHAH ALAM KHAN COLL OF ENGG AND TECH,NEW MALAKPET,HYDERABAD,OU,PVT,NA,COED,SBTET,ME,15780,30
NAWBSF,NAWAB SHAH ALAM KHAN COLL OF ENGG AND TECH - SELF FINANCE,NEW MALAKPET,HYDERABAD,OU,PVT,NA,COED,SBTET,AI,15780,30
NDPT,GOVT.POLYTECHNIC,NANDIPET,NIZAMBAD,OU,GOV,NA,COED,SBTET,EC,5080,66
NDPT,GOVT.POLYTECHNIC,NANDIPET,NIZAMBAD,OU,GOV,NA,COED,SBTET,ME,5080,66
NGMA,NIGAMA ENGINEERING COLLEGE,MOQUDUMPOOR,KARIMNAGAR,OU,PVT,NA,COED,SBTET,EC,15780,66
NGMA,NIGAMA ENGINEERING COLLEGE,MOQUDUMPOOR,KARIMNAGAR,OU,PVT,NA,COED,SBTET,EE,15780,66
NKHD,GOVERNMENT POLYTECHNIC,NARAYANKHED,SANGAREDDY,OU,GOV,NA,COED,SBTET,EC,5080,66
NKHD,GOVERNMENT POLYTECHNIC,NARAYANKHED,SANGAREDDY,OU,GOV,NA,COED,SBTET,EE,5080,66
