Institute Code,Institute Name,Place,District Name,Region,College,Minority,Co-Educational,Affiliated to,Branch,Fee Structure,Convener Seats
ANRK,ANURAG ENGINEERING COLLEGE AUTONOMOUS,KODAD,SURYAPET,OU,PVT,NA,COED,JNTUH,CIV,90000,6
ANRK,ANURAG ENGINEERING COLLEGE AUTONOMOUS,KODAD,SURYAPET,OU,PVT,NA,COED,JNTUH,CSE,90000,20
ANRK,ANURAG ENGINEERING COLLEGE AUTONOMOUS,KODAD,SURYAPET,OU,PVT,NA,COED,JNTUH,CSM,90000,7
ANRK,ANURAG ENGINEERING COLLEGE AUTONOMOUS,KODAD,SURYAPET,OU,PVT,NA,COED,JNTUH,ECE,90000,13
ANRK,ANURAG ENGINEERING COLLEGE AUTONOMOUS,KODAD,SURYAPET,OU,PVT,NA,COED,JNTUH,EEE,90000,6
ANRK,ANURAG ENGINEERING COLLEGE AUTONOMOUS,KODAD,SURYAPET,OU,PVT,NA,COED,JNTUH,INF,90000,7
ANRP,ANURAG PHARMACY COLLEGE,KODADA,SURYAPET,OU,PVT,NA,COED,JNTUH,PHM,75000,11
ANWP,ANWAR-ULOOM COLLEGE OF PHARMACY,HYDERABADERABAD,HYDERABAD,OU,PVT,MUS,COED,OU,PHM,85000,10
ARJN,ARJUN COLLEGE OF TECHNOLOGY AND SCIENCE,BATASINGARAM,RANGAREDDY,OU,PVT,NA,COED,JNTUH,CIV,67000,6
ARJN,ARJUN COLLEGE OF TECHNOLOGY AND SCIENCE,BATASINGARAM,RANGAREDDY,OU,PVT,NA,COED,JNTUH,CSE,67000,7
ARJN,ARJUN COLLEGE OF TECHNOLOGY AND SCIENCE,BATASINGARAM,RANGAREDDY,OU,PVT,NA,COED,JNTUH,CSM,67000,6
ARJN,ARJUN COLLEGE OF TECHNOLOGY AND SCIENCE,BATASINGARAM,RANGAREDDY,OU,PVT,NA,COED,JNTUH,ECE,67000,7
ARJN,ARJUN COLLEGE OF TECHNOLOGY AND SCIENCE,BATASINGARAM,RANGAREDDY,OU,PVT,NA,COED,JNTUH,EEE,67000,7
ARYA,ARYA COLLEGE OF PHARMACY,KANDI,SANGAREDDY,OU,PVT,NA,COED,OU,PHM,58000,11
ASRA,AVANTHIS SCIENTIFIC TECH AND RESEARCH ACADEMY,HAYATHNAGAR,RANGAREDDY,OU,PVT,NA,COED,JNTUH,CIV,60000,6
ASRA,AVANTHIS SCIENTIFIC TECH AND RESEARCH ACADEMY,HAYATHNAGAR,RANGAREDDY,OU,PVT,NA,COED,JNTUH,CSE,60000,7
