College Code,College Name,Place,District Name,Region,College Type,Minority,Co-Educational,Affiliated to,Branch,Fee Structure,Convener Seats
ASRA,AVANTHIS SCIENTIFIC TECH AND RESEARCH ACADEMY,HAYATHNAGAR,RANGAREDDY,OU,PVT,NA,COED,JNTUH,CSM,60000,46
ASRA,AVANTHIS SCIENTIFIC TECH AND RESEARCH ACADEMY,HAYATHNAGAR,RANGAREDDY,OU,PVT,NA,COED,JNTUH,ECE,60000,46
ASRA,AVANTHIS SCIENTIFIC TECH AND RESEARCH ACADEMY,HAYATHNAGAR,RANGAREDDY,OU,PVT,NA,COED,JNTUH,EEE,60000,23
ASRA,AVANTHIS SCIENTIFIC TECH AND RESEARCH ACADEMY,HAYATHNAGAR,RANGAREDDY,OU,PVT,NA,COED,JNTUH,MEC,60000,23
AURG,AURORAS SCIENTIFIC AND TECHNOLOGICAL INSTITUTE,GHATKESAR,MEDCHAL,OU,PVT,NA,COED,JNTUH,AIM,45000,93
AURG,AURORAS SCIENTIFIC AND TECHNOLOGICAL INSTITUTE,GHATKESAR,MEDCHAL,OU,PVT,NA,COED,JNTUH,CSE,45000,231
AURG,AURORAS SCIENTIFIC AND TECHNOLOGICAL INSTITUTE,GHATKESAR,MEDCHAL,OU,PVT,NA,COED,JNTUH,ECE,45000,46
AURG,AURORAS SCIENTIFIC AND TECHNOLOGICAL INSTITUTE,GHATKESAR,MEDCHAL,OU,PVT,NA,COED,JNTUH,MEC,45000,46
AVHP,AVANTHI INST OF PHARMSCI,HAYATHNAGAR,RANGAREDDY,OU,PVT,NA,COED,JNTUH,PHD,75000,11
AVHP,AVANTHI INST OF PHARMSCI,HAYATHNAGAR,RANGAREDDY,OU,PVT,NA,COED,JNTUH,PHM,65000,39
AVIH,AVANTHI INST OF ENGG AND TECHNOLOGY,HAYATHNAGAR,RANGAREDDY,OU,PVT,NA,COED,JNTUH,CSC,70000,46
AVIH,AVANTHI INST OF ENGG AND TECHNOLOGY,HAYATHNAGAR,RANGAREDDY,OU,PVT,NA,COED,JNTUH,CSD,70000,46
AVIH,AVANTHI INST OF ENGG AND TECHNOLOGY,HAYATHNAGAR,RANGAREDDY,OU,PVT,NA,COED,JNTUH,CSE,70000,138
