College Code,College Name,Branch Code,Rank,Gender,Region,Caste,Seat Category
VMRH,"VMR POLYTECHNIC, HANAMKONDA",EC,57817,M,OU,BC_B,BC_A_GEN_OU
PETW,"PRINCETON INST OF ENGG TECH FOR WOMEN, GHATKESAR",EC,57817,F,OU,SC,SC_GIRLS_OU
JMTS,"JYOTHISHMATHI INSTITUTE OF TECHNOLOGY AND SCI., KARIMNAGAR",EC,57834,M,OU,SC,ST_GEN_OU
MINA,"MINA INST OF ENGG AND TECHNOLOGY FOR WOMEN, MIRYALAGUDA",EC,57834,F,OU,BC_B,BC_B_GIRLS_OU
VGSE,"VAAGESHWARI COLL. OF ENGINEERING, KARIMNAGAR",EC,57834,F,OU,BC_D,BC_C_GEN_OU
BITN,"BALAJI INSTITUTE OF TECHNOLOGY AND SCI., NARSAMPET",EE,57834,F,OU,BC_B,OC_CAP_GEN_UR(0)
NALG,"GOVT POLYTECHNIC , NALGONDA",ME,57834,M,OU,BC_D,BC_A_GEN_OU
SAIS,"SAI SPURTI INSTITUTE OF TECHNOLOGY, SATHUPALLY",CS,57848,M,OU,BC_A,BC_A_GEN_OU
BRIG,"BRILLIANT GRAMMER SCHOOL EDNL SOC GRP OF INSTNS, HAYATHNAGAR",EC,57848,M,OU,BC_B,BC_B_GEN_OU
GPWS,"GOVT POLYTECHNIC FOR WOMEN, SECUNDERABAD",HS,57855,F,OU,BC_A,BC_A_GIRLS_OU
MAHM,"GOVERNMENT POLYTECHNIC, MAHESHWARAM",CE,57859,M,OU,BC_B,BC_B_GEN_OU
JPNE,"JAYA PRAKASH NARAYAN COLLEGE OF ENGINEERING, MAHABUBNAGAR",EE,57859,M,OU,BC_D,SC_GIRLS_OU
SAIS,"SAI SPURTI INSTITUTE OF TECHNOLOGY, SATHUPALLY",EE,57859,M,OU,BC_D,BC_D_GEN_OU
ELEN,"ELLENKI COLLGE OF ENGG. AND TECHNOLOGY, PATANCHERU",CE,57872,F,OU,BC_A,BC_A_GIRLS_OU
HOLY,"HOLY MARY INSTITUTE OF TECH. SCIENCE, KEESARA",CE,57872,M,OU,SC,SC_GEN_OU
SMCD,"ST MARYS ENGINEERING COLLEGE, DESHMUKHI",CS,57872,M,OU,BC_A,BC_A_PHV_GIRLS_OU
TCEK,"TRINITY COLLEGE OF ENGINEERING AND TECHNOLOGY, PEDDAPALLY",CS,57872,M,OU,BC_D,BC_D_GEN_OU
SCCL,"SINGARENI COLLIERIES POLYTECHNIC COLLEGE, NASPUR",EE,57872,F,OU,BC_D,BC_D_GIRLS_OU
GTSR,"GAYATRI INST OF TECH AND SCI, WANAPARTHY",EE,57872,M,OU,BC_D,BC_D_GEN_OU
KMTS,"KHAMMAM INST OF TECHNOLOGY AND SCIENCE, KHAMMAM",EE,57872,M,OU,ST,OC_PHH_GEN_OU
SGRD,"GOVERNMENT POLYTECHNIC, SANGA REDDY",EE,57872,F,OU,BC_A,BC_A_GIRLS_OU
JGPT,"GOVT.POLYTECHNIC, JOGIPET",ME,57872,M,OU,BC_B,BC_B_GIRLS_OU
SVSE,"SVS GRP OF INSTNS - SVS INST OF TECH., HANAMKONDA",CE,57898,M,OU,SC,SC_GEN_OU
